,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
39,9.0,35.0,18.0,100.0,82.0,3500.0,24.0,24.0,13.0,9.0,4.0,4.0,3.0,4.0,0.0,0.0,1776.0180000000003,0.48466947485732287,532.3610161241274,31.980168107612457,87.00000000000001,173.00000000000003,118.00000000000001,182.81864748921708,78.59635480976634,57.63210432285187,136.2284591326182,46.59018835659889
42,9.0,35.0,17.0,99.0,82.0,3500.0,24.0,24.0,16.0,9.0,4.0,4.0,3.0,4.0,0.0,0.0,1715.6400000000003,0.5131794439665771,513.4479514236235,31.760089761473782,87.00000000000001,170.0,116.0,184.88016717105268,78.78539053848506,58.315463720282224,137.1008542587673,47.77931291228538
44,9.0,35.0,19.0,100.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,3.0,3.0,0.0,0.0,1842.6600000000003,0.45916055512799014,522.1411255868721,31.944740914443567,87.00000000000001,176.50000000000003,120.0,175.51516023528148,78.67196761489426,51.321574199324274,129.99354181421853,45.521618421062975
49,9.0,35.0,21.0,104.0,92.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,4.0,4.0,0.0,0.0,2150.9010000000007,0.4154309784491339,576.6103527827838,32.442672706935625,87.00000000000001,184.50000000000003,134.0,172.83956343669956,76.32132081317772,49.314478344378756,125.63579915755648,47.203764279143094
59,9.0,35.0,19.0,99.0,82.0,3500.0,24.0,24.0,16.0,10.0,4.0,5.0,3.0,3.0,0.0,0.0,1832.2200000000003,0.45916055512799014,528.2218118816137,31.925851609810987,87.00000000000001,175.50000000000003,120.0,177.3700035569936,78.91893641924659,52.929448716684036,131.84838513593064,45.52161842106296
67,9.0,35.0,21.0,108.0,92.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,4.0,4.0,0.0,0.0,2197.5330000000004,0.4154309784491339,576.6103527827838,32.736515212381995,87.00000000000001,188.5,134.0,172.68332250685046,76.16507988332866,49.314478344378756,125.47955822770741,47.20376427914306
69,9.0,35.0,19.0,100.0,82.0,3500.0,24.0,24.0,14.0,14.0,4.0,5.0,3.0,3.0,0.0,0.0,1884.4200000000003,0.45916055512799014,516.6945711700139,31.96015975443639,87.00000000000001,180.50000000000003,120.0,175.3642018484309,78.9370300392412,50.90555338812671,129.8425834273679,45.521618421062975
72,9.0,35.0,17.0,93.0,64.0,3500.0,24.0,24.0,16.0,9.0,4.0,4.0,1.0,2.0,0.0,0.0,1398.2640000000004,0.5131794439665771,530.0986026599762,31.77282128494286,87.00000000000001,164.0,98.0,207.1626305505388,98.84875872088865,67.94859023134009,166.79734895222873,40.365281598310055
73,9.0,35.0,21.0,106.0,92.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,4.0,4.0,0.0,0.0,2174.2170000000006,0.4154309784491339,576.6103527827838,32.442672706935625,87.00000000000001,186.5,134.0,172.83956343669954,76.32132081317772,49.314478344378756,125.63579915755648,47.20376427914306
84,9.0,35.0,19.0,100.0,82.0,3500.0,24.0,24.0,14.0,12.0,4.0,5.0,3.0,3.0,0.0,0.0,1863.5400000000004,0.45916055512799014,515.411999707014,31.92801665100663,87.00000000000001,178.50000000000003,120.0,175.4096414796811,78.55174160557642,51.33628145304172,129.88802305861816,45.521618421062975
91,9.0,35.0,17.0,100.0,82.0,3500.0,24.0,24.0,13.0,9.0,4.0,4.0,3.0,4.0,0.0,0.0,1725.7320000000004,0.5131794439665771,516.8008341953588,31.755731999293996,87.00000000000001,171.0,116.0,183.85366547778045,78.43823827696386,57.6361142885312,136.07435256549508,47.77931291228538
93,9.0,35.0,19.0,98.0,82.0,3500.0,24.0,24.0,16.0,10.0,4.0,5.0,3.0,3.0,0.0,0.0,1821.7800000000002,0.45916055512799014,543.7498451323149,31.77684527206201,87.00000000000001,174.50000000000003,120.0,177.53702671129858,79.00962592407512,53.00578236616047,132.0154082902356,45.521618421062996
55,9.0,35.0,18.0,98.0,82.0,3500.0,24.0,24.0,13.0,9.0,4.0,4.0,3.0,4.0,0.0,0.0,1755.4860000000003,0.48466947485732287,545.5545912759007,31.81227246523095,87.00000000000001,171.0,118.00000000000001,183.5993308876845,78.90544209257611,58.103700438509485,137.0091425310856,46.59018835659889
37,9.0,35.0,18.0,97.0,75.0,3500.0,24.0,24.0,13.0,9.0,4.0,4.0,2.0,3.0,0.0,1.0,1641.6900000000003,0.48466947485732287,534.8845218678524,31.841116304412658,87.00000000000001,170.0,111.0,194.60150866331804,88.35845478796621,62.416690251771556,150.77514503973777,43.8263636235803
99,9.0,35.0,17.0,101.0,82.0,3500.0,24.0,24.0,13.0,9.0,4.0,4.0,3.0,4.0,0.0,0.0,1735.824,0.5131794439665771,516.8008341953588,31.755731999293996,87.00000000000001,172.0,116.0,183.85366547778042,78.43823827696386,57.6361142885312,136.07435256549508,47.77931291228536
14,9.0,35.0,17.0,100.0,64.0,3500.0,24.0,24.0,13.0,9.0,4.0,4.0,1.0,2.0,0.0,0.0,1457.9460000000004,0.5131794439665771,514.9047291811297,32.441048256460206,87.00000000000001,171.0,98.0,202.77295037473118,96.67217460268756,65.73549417373358,162.40766877642113,40.365281598310055
12,9.0,35.0,19.0,97.0,82.0,3500.0,24.0,24.0,16.0,10.0,4.0,5.0,3.0,3.0,0.0,0.0,1811.3400000000001,0.45916055512799026,547.1594416118558,31.86712001008181,87.00000000000001,173.50000000000003,120.0,178.2652306791233,79.67306384176726,53.07054841629305,132.7436122580603,45.52161842106298
25,9.0,35.0,17.0,100.0,74.0,3500.0,24.0,24.0,13.0,9.0,4.0,4.0,2.0,2.0,0.0,5.0,1606.7160000000001,0.5131794439665771,503.3821712540171,31.755504400097504,87.00000000000001,171.0,108.0,198.0639904160895,86.00959271768238,67.57020981455518,153.57980253223758,44.4841878838519
9,9.0,35.0,19.0,98.0,82.0,3500.0,24.0,24.0,13.0,9.0,4.0,4.0,3.0,4.0,0.0,0.0,1806.1200000000003,0.45916055512799014,542.8527102134916,32.26517208736023,87.00000000000001,173.00000000000003,120.0,182.48181723732154,78.90544209257611,58.05475672368243,136.96019881625853,45.521618421062996
8,9.0,35.0,16.0,100.0,64.0,3500.0,24.0,24.0,13.0,9.0,4.0,4.0,1.0,2.0,0.0,0.0,1411.4880000000003,0.5452531592144882,501.2151931073649,31.84582704511546,87.00000000000001,169.0,96.0,203.11703342920805,96.08670306288805,65.6745177772823,161.76122084017035,41.355812589037726
29,9.0,35.0,17.0,92.0,64.0,3500.0,24.0,24.0,12.0,9.0,4.0,4.0,1.0,2.0,0.0,0.0,1389.7380000000003,0.513179443966577,531.0166464644104,31.742973793960783,87.00000000000001,163.0,98.0,208.3382665841243,98.68160057384512,69.29138441196912,167.97298498581424,40.36528159831008
21,9.0,35.0,17.0,94.0,64.0,3500.0,24.0,24.0,16.0,9.0,4.0,4.0,1.0,2.0,0.0,0.0,1406.7900000000002,0.5131794439665771,538.3151162535048,31.77937639270103,87.00000000000001,165.0,98.0,206.49978032998786,98.78699856324626,67.34750016843155,166.1344987316778,40.36528159831007
