,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
45,9.0,35.0,16.0,94.0,72.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,3.0,-9.0,0.0,1410.8640000000003,0.5452531592144882,502.8698100107769,32.361790469626236,84.0,161.5,104.00000000000001,226.96217199745354,120.7569393075157,61.40310238514701,182.1600416926627,44.80213030479085
76,9.0,35.0,17.0,96.0,72.0,3500.0,23.0,24.0,16.0,9.0,3.0,4.0,3.0,3.0,0.0,0.0,1482.516,0.5131794439665771,510.62843173923517,31.807621846950465,84.0,166.5,106.00000000000001,207.32767842715856,101.8772601785586,61.79001162185641,163.667271800415,43.66040662674355
43,9.0,35.0,17.0,97.0,82.0,3500.0,23.0,23.0,16.0,10.0,3.0,5.0,3.0,3.0,-2.0,0.0,1636.9920000000004,0.5131794439665771,512.5028775322579,32.048619254896614,84.0,168.0,116.0,202.0752775188113,101.05892560069303,53.23703900583289,154.29596460652593,47.77931291228538
33,9.0,35.0,17.0,95.0,82.0,3500.0,23.0,23.0,16.0,10.0,3.0,5.0,3.0,3.0,-3.0,0.0,1617.5040000000004,0.5131794439665771,515.5519087241992,31.742738604559253,84.0,166.0,116.0,202.40422460479533,100.98207537757861,53.64283631493136,154.62491169250995,47.77931291228538
72,9.0,35.0,17.0,94.0,73.0,3500.0,23.0,24.0,16.0,9.0,3.0,4.0,3.0,3.0,0.0,0.0,1478.526,0.513179443966577,510.88546824692133,31.76969718045527,84.0,164.5,107.0,208.93775297663385,102.69201471030236,62.17344101103378,164.86545572133613,44.07229725529769
52,9.0,32.0,22.0,104.0,92.0,3500.0,24.0,24.0,14.0,17.0,4.0,6.0,3.0,3.0,-2.0,0.0,2216.2560000000003,0.4337241039206157,511.4003273146554,31.8446696558586,84.0,194.0,136.0,174.17329926530897,79.18149985299978,45.531173707662774,124.71267356066255,49.46062570464644
53,9.0,35.0,16.0,96.0,82.0,3500.0,23.0,23.0,16.0,10.0,3.0,5.0,2.0,3.0,-5.0,0.0,1580.0400000000002,0.5452531592144882,500.5197196468548,31.74480178094357,84.0,165.0,114.0,210.35383817492055,106.77903269378794,54.46477803165031,161.24381072543827,49.1100274494823
54,9.0,32.0,22.0,104.0,92.0,3500.0,24.0,24.0,14.0,16.0,4.0,6.0,3.0,3.0,-2.0,0.0,2204.8320000000003,0.4337241039206157,511.4003273146554,31.837053810210456,84.0,193.0,136.0,174.4033605427648,79.18149985299978,45.7612349851186,124.94273483811838,49.46062570464644
68,9.0,32.0,22.0,107.0,92.0,3500.0,24.0,24.0,14.0,17.0,4.0,6.0,3.0,3.0,-2.0,0.0,2250.5280000000002,0.4337241039206157,511.4003273146554,31.878170728330897,84.0,197.0,136.0,174.01705833546004,79.02525892315082,45.531173707662774,124.55643263081359,49.460625704646425
62,9.0,35.0,16.0,91.0,82.0,3500.0,23.0,23.0,13.0,10.0,3.0,5.0,1.0,3.0,-6.0,0.0,1532.1600000000003,0.5452531592144882,500.4078678744284,31.944822081705922,84.0,160.0,114.0,225.31281492242803,121.61058844286077,54.59219903008495,176.20278747294572,49.110027449482324
77,9.0,35.0,17.0,95.0,72.0,3500.0,23.0,24.0,16.0,9.0,3.0,4.0,2.0,3.0,-2.0,0.0,1473.6120000000005,0.5131794439665771,506.78578983258893,31.981845668998332,84.0,165.5,106.00000000000001,214.8820148126232,109.62374551478163,61.59786267109804,171.2216081858797,43.66040662674355
64,9.0,35.0,17.0,87.0,72.0,3500.0,23.0,24.0,13.0,9.0,3.0,4.0,1.0,3.0,-9.0,0.0,1402.3800000000006,0.513179443966577,503.94729640604544,31.867592168544068,84.0,157.50000000000003,106.00000000000001,228.13737524293936,122.64532791393198,61.83164070226387,184.47696861619585,43.66040662674353
65,9.0,35.0,17.0,98.0,72.0,3500.0,23.0,24.0,16.0,9.0,3.0,4.0,3.0,3.0,0.0,0.0,1500.324,0.5131794439665771,506.776699756705,31.94540296594619,84.0,168.5,106.00000000000001,206.52134027332932,101.08080808404883,61.78012556253693,162.86093364658575,43.66040662674355
29,9.0,35.0,16.0,96.0,72.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,3.0,-9.0,0.0,1428.3360000000002,0.5452531592144882,500.5525123345821,32.54280043703333,84.0,163.5,104.00000000000001,225.47730346270237,119.66558491496468,61.009588242946826,180.6751731579115,44.80213030479087
94,9.0,35.0,17.0,94.0,72.0,3500.0,23.0,24.0,16.0,9.0,3.0,4.0,2.0,3.0,-2.0,0.0,1464.708,0.5131794439665771,506.04111651622236,31.9186409379434,84.0,164.5,106.00000000000001,215.7771367443981,110.32572170443804,61.79100841321649,172.11673011765453,43.66040662674355
22,9.0,35.0,16.0,97.0,82.0,3500.0,23.0,23.0,16.0,10.0,3.0,5.0,2.0,3.0,-2.0,0.0,1589.6160000000002,0.5452531592144881,500.7783898409732,31.886954233508284,84.0,166.0,114.0,211.0502171047919,108.26293572466304,53.67725393064659,161.94018965530964,49.11002744948227
85,9.0,32.0,22.0,100.0,92.0,3500.0,24.0,24.0,14.0,14.0,4.0,6.0,3.0,3.0,-2.0,0.0,2136.2880000000005,0.4337241039206157,558.693874296909,31.926627925704924,84.0,187.00000000000003,136.0,174.8600705396516,79.39264993394649,46.00679490105867,125.39944483500516,49.46062570464644
5,9.0,32.0,22.0,108.0,92.0,3500.0,24.0,24.0,14.0,17.0,4.0,6.0,4.0,3.0,0.0,0.0,2261.9520000000007,0.4337241039206157,511.49850220426146,31.761355168941247,84.0,198.0,136.0,172.7161327415427,77.40495362239098,45.85055341450534,123.25550703689632,49.46062570464641
7,9.0,35.0,14.0,100.0,55.0,3500.0,23.0,24.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1146.894,0.6231464676737007,503.9203104758267,31.848646634141193,84.0,164.5,83.0,234.48964885301146,121.45279842200028,73.56772905266928,195.02052747466956,39.46912137834189
15,9.0,35.0,17.0,94.0,82.0,3500.0,23.0,23.0,16.0,10.0,3.0,5.0,3.0,3.0,-5.0,0.0,1607.7600000000002,0.5131794439665771,510.2471527445436,31.76295633465924,84.0,165.0,116.0,202.61967660892918,100.2116762364183,54.628687460225464,154.84036369664375,47.7793129122854
10,9.0,35.0,17.0,100.0,82.0,3500.0,23.0,24.0,14.0,10.0,3.0,5.0,3.0,3.0,-2.0,0.0,1675.968,0.5131794439665771,503.32244998709047,32.154949807969714,84.0,172.0,116.0,199.94878804134478,100.84028241854521,51.3291927105142,152.1694751290594,47.77931291228538
57,9.0,36.0,16.0,97.0,72.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,2.0,3.0,-4.0,0.0,1454.1800000000003,0.5301072381251969,510.44643258822094,31.79765721061831,85.0,164.5,104.00000000000001,215.3365903595013,108.09038236905572,63.368375373094715,171.45875774215042,43.87783261735084
30,9.0,35.0,16.0,97.0,82.0,3500.0,24.0,24.0,16.0,10.0,4.0,5.0,1.0,3.0,-2.0,0.0,1661.2650000000003,0.5452531592144882,530.3982130322324,31.851908168898177,87.00000000000001,167.5,114.0,199.589977026607,98.40082823225364,52.079121344871055,150.4799495771247,49.11002744948228
66,9.0,35.0,17.0,100.0,96.0,3500.0,24.0,24.0,16.0,14.0,4.0,6.0,3.0,3.0,7.0,1.0,2001.8700000000001,0.513179443966577,520.7754882571211,31.992665517418722,87.00000000000001,177.00000000000003,130.0,180.5446692145736,79.78613622964303,47.2127512728866,126.99888750252964,53.54578171204394
96,9.0,35.0,17.0,100.0,82.0,3500.0,24.0,24.0,14.0,14.0,4.0,5.0,1.0,3.0,-2.0,0.0,1781.2380000000003,0.5131794439665772,511.8410755408434,32.53914962599612,87.00000000000001,176.50000000000003,116.0,196.09200136981855,98.3204066559701,49.99228180156304,148.31268845753314,47.77931291228539
56,9.0,35.0,19.0,100.0,82.0,3500.0,24.0,24.0,14.0,12.0,4.0,5.0,3.0,3.0,0.0,0.0,1863.5400000000004,0.45916055512799014,515.411999707014,31.92801665100663,87.00000000000001,178.50000000000003,120.0,175.4096414796811,78.55174160557642,51.33628145304172,129.88802305861816,45.521618421062975
55,9.0,35.0,18.0,100.0,82.0,3500.0,24.0,24.0,14.0,12.0,4.0,5.0,2.0,3.0,-2.0,0.0,1811.9490000000005,0.48466947485732287,524.5772744645044,31.775786621114886,87.00000000000001,176.50000000000003,118.00000000000001,184.95847953772957,87.08432271425254,51.28396846687815,138.3682911811307,46.59018835659889
71,9.0,35.0,17.0,100.0,96.0,3500.0,24.0,24.0,16.0,13.0,4.0,6.0,3.0,3.0,7.0,1.0,1990.5600000000006,0.5131794439665771,519.8671939404455,31.997503242357517,87.00000000000001,176.00000000000003,130.0,180.81104071856018,79.7998895578506,47.46536944866563,127.26525900651623,53.545781712043954
12,9.0,35.0,18.0,100.0,82.0,3500.0,24.0,24.0,14.0,14.0,4.0,5.0,2.0,3.0,-2.0,0.0,1832.4810000000007,0.48466947485732287,525.2131292282327,31.81644377463647,87.00000000000001,178.50000000000003,118.00000000000001,184.92599425602805,87.48256549746601,50.85324040196315,138.33580589942915,46.59018835659889
19,9.0,35.0,19.0,100.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,3.0,3.0,0.0,0.0,1842.6600000000003,0.45916055512799014,522.1411255868721,31.944740914443567,87.00000000000001,176.50000000000003,120.0,175.51516023528148,78.67196761489426,51.321574199324274,129.99354181421853,45.521618421062975
80,9.0,35.0,18.0,100.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,2.0,3.0,-2.0,0.0,1791.4170000000001,0.48466947485732276,531.3064003443625,31.82683528820369,87.00000000000001,174.50000000000003,118.00000000000001,185.26227865154368,87.40282908178409,51.2692612131607,138.67209029494478,46.590188356598865
36,9.0,35.0,17.0,100.0,96.0,3500.0,24.0,24.0,16.0,12.0,4.0,6.0,3.0,3.0,7.0,0.0,1979.2500000000005,0.513179443966577,521.8388401298714,31.99789833484646,87.00000000000001,175.00000000000003,130.0,181.08753221901998,79.40084779597828,48.14090271099776,127.54175050697603,53.54578171204394
23,9.0,35.0,17.0,100.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,1.0,3.0,-2.0,0.0,1740.8700000000006,0.513179443966577,517.9343466569726,32.54411928165806,87.00000000000001,172.50000000000003,116.0,196.14037232973487,98.17105069300554,50.19000872444396,148.3610594174495,47.77931291228536
20,9.0,35.0,19.0,100.0,92.0,3500.0,24.0,24.0,14.0,14.0,4.0,6.0,3.0,3.0,5.0,0.0,2047.1100000000004,0.45916055512799014,543.2600265092022,31.94189218375742,87.00000000000001,181.00000000000003,130.0,175.85664556790584,79.51659764406871,47.024961301018934,126.54155894508764,49.31508662281822
48,9.0,35.0,16.0,102.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,1.0,3.0,-2.0,0.0,1710.8550000000002,0.5452531592144882,504.2448105832079,32.016396180748586,87.00000000000001,172.50000000000003,114.0,196.8925627504688,97.54117113747814,50.241364163508386,147.78253530098652,49.11002744948228
17,9.0,35.0,19.0,100.0,82.0,3500.0,24.0,24.0,14.0,14.0,4.0,5.0,3.0,3.0,0.0,0.0,1884.4200000000003,0.45916055512799014,516.6945711700139,31.96015975443639,87.00000000000001,180.50000000000003,120.0,175.3642018484309,78.9370300392412,50.90555338812671,129.8425834273679,45.521618421062975
32,9.0,35.0,17.0,92.0,82.0,3500.0,24.0,24.0,16.0,10.0,4.0,5.0,1.0,3.0,-2.0,0.0,1660.1340000000005,0.5131794439665772,540.5522753701933,31.81289445836995,87.00000000000001,164.5,116.0,201.05681431793036,100.03610142892595,53.24139997671901,153.27750140564495,47.77931291228539
74,9.0,35.0,19.0,100.0,92.0,3500.0,24.0,24.0,14.0,13.0,4.0,6.0,3.0,3.0,5.0,0.0,2035.8000000000004,0.45916055512799014,542.3517321925267,31.946729908696227,87.00000000000001,180.00000000000003,130.0,176.12301707189246,79.53035097227628,47.27757947679797,126.80793044907425,49.31508662281822
46,9.0,35.0,19.0,100.0,92.0,3500.0,24.0,24.0,14.0,12.0,4.0,6.0,3.0,3.0,5.0,0.0,2024.4900000000002,0.45916055512799014,543.1979645066481,31.90721981193596,87.00000000000001,179.00000000000003,130.0,176.35479987673696,79.13130921040394,47.908404043514786,127.03971325391873,49.31508662281822
73,9.0,35.0,17.0,100.0,84.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,1.0,3.0,-2.0,1.0,1770.8850000000002,0.513179443966577,508.7017085884769,32.5358687799945,87.00000000000001,172.50000000000003,118.00000000000001,196.73388546073977,98.09304808768468,50.03774320366132,148.130791291346,48.60309416939378
16,9.0,35.0,16.0,100.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,1.0,3.0,-2.0,0.0,1691.0190000000005,0.5452531592144882,504.2448105832079,32.016396180748586,87.00000000000001,170.5,114.0,196.89256275046884,97.54117113747814,50.241364163508386,147.78253530098652,49.1100274494823
70,9.0,42.0,10.0,100.0,57.0,3500.0,23.0,24.0,16.0,9.0,3.0,4.0,1.0,1.0,1.0,1.0,1096.5955000000001,0.7270042122859844,503.6059889300527,31.808524766482652,91.0,156.50000000000003,77.0,239.8149617991993,123.41539845445946,75.35924548047032,198.77464393492977,41.04031786426952
9,9.0,42.0,10.0,100.0,59.0,3500.0,23.0,24.0,16.0,9.0,3.0,4.0,1.0,1.0,-2.0,2.0,1125.0785000000003,0.7270042122859846,500.34230711966956,31.797240764941215,91.0,156.50000000000003,79.0,238.10886762851237,121.80046577429097,74.20210170776299,196.00256748205396,42.10630014645838
31,9.0,42.0,10.0,100.0,58.0,3500.0,23.0,24.0,16.0,9.0,3.0,4.0,1.0,1.0,-2.0,-1.0,1110.8370000000002,0.7270042122859844,502.7296439277922,31.76368334681207,91.0,156.50000000000003,78.0,240.22974142555842,124.0822735536305,74.57415886656393,198.65643242019445,41.57330900536395
59,9.0,43.0,10.0,97.0,55.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1052.25,0.710097137581659,507.1739831992581,31.957027537023254,92.0,152.50000000000003,75.0,241.86466604499805,123.48998891147534,79.09037235265849,202.58036126413384,39.284304780864225
8,9.0,43.0,10.0,100.0,55.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1072.95,0.7100971375816592,517.342442462352,32.05244351439791,92.0,155.50000000000003,75.0,239.24858605651423,122.5320114166802,77.43226985896975,199.96428127564997,39.28430478086427
