,n_estimators,learning_rate,max_depth,num_leaves,R2,MAE,MSE,RMSE,MAPE,MPE
108,10.0,0.001,5.0,80.0,0.016270382527602267,5.9480447922361055,59.82958485884732,7.734837677529626,66.38389381081392,-41.8573206414164
109,10.0,0.01,5.0,80.0,0.15055599305320816,5.5113907152990835,51.6624406103702,7.187546181099899,61.39970550083755,-38.72041172190636
110,10.0,0.05,5.0,80.0,0.5439156692062171,3.9787688774554937,27.73930884035669,5.26668546636865,43.77613221116526,-27.422780519862943
111,10.0,0.1,5.0,80.0,0.771238217261631,2.7544965558039674,13.913626916576764,3.7299697302356747,29.518320159769143,-17.952101213278727
112,10.0,0.001,5.0,100.0,0.016270382527602267,5.9480447922361055,59.82958485884732,7.734837677529626,66.38389381081392,-41.8573206414164
113,10.0,0.01,5.0,100.0,0.15055599305320816,5.5113907152990835,51.6624406103702,7.187546181099899,61.39970550083755,-38.72041172190636
114,10.0,0.05,5.0,100.0,0.5439156692062171,3.9787688774554937,27.73930884035669,5.26668546636865,43.77613221116526,-27.422780519862943
115,10.0,0.1,5.0,100.0,0.771238217261631,2.7544965558039674,13.913626916576764,3.7299697302356747,29.518320159769143,-17.952101213278727
116,10.0,0.001,5.0,127.0,0.016270382527602267,5.9480447922361055,59.82958485884732,7.734837677529626,66.38389381081392,-41.8573206414164
117,10.0,0.01,5.0,127.0,0.15055599305320816,5.5113907152990835,51.6624406103702,7.187546181099899,61.39970550083755,-38.72041172190636
118,10.0,0.05,5.0,127.0,0.5439156692062171,3.9787688774554937,27.73930884035669,5.26668546636865,43.77613221116526,-27.422780519862943
119,10.0,0.1,5.0,127.0,0.771238217261631,2.7544965558039674,13.913626916576764,3.7299697302356747,29.518320159769143,-17.952101213278727
120,10.0,0.001,10.0,31.0,0.01637053582138619,5.948009539609872,59.82350017475608,7.7344441373256405,66.38976752789692,-41.861092552660395
121,10.0,0.01,10.0,31.0,0.1515681134519254,5.510494629376803,51.60092870160761,7.183264510800842,61.462934601238885,-38.76705316064972
122,10.0,0.05,10.0,31.0,0.5477503597740435,3.973525073215673,27.506190571544742,5.2445023169161535,44.03950967746706,-27.61182029467105
123,10.0,0.1,10.0,31.0,0.7757823929805573,2.7446292048901535,13.637571535989148,3.692743250823775,29.928114743850916,-18.266267330622036
124,10.0,0.001,10.0,60.0,0.016974980427518972,5.946609535231235,59.78671937378,7.7320667303245845,66.37712203676617,-41.852825426304946
125,10.0,0.01,10.0,60.0,0.15712622456267372,5.495990137178912,51.26275465383206,7.159692240948085,61.323173929948915,-38.677652001765665
126,10.0,0.05,10.0,60.0,0.5664261303857643,3.9003716490849016,26.369987471973957,5.1350592322088096,43.335068017701055,-27.216250705931174
127,10.0,0.1,10.0,60.0,0.7980684177093789,2.617320263506138,12.281910697617516,3.5044190051277235,28.678457976688026,-17.569174116760678
128,10.0,0.001,10.0,80.0,0.017197517849103616,5.945956522809361,59.77318455903678,7.731191477925241,66.37127482251239,-41.849447668767056
129,10.0,0.01,10.0,80.0,0.1591329268523774,5.489759371574635,51.140673338222186,7.151163090174441,61.26452779309371,-38.64281466689634
130,10.0,0.05,10.0,80.0,0.5730780618786429,3.8716479795150804,25.965276952972783,5.095508198869061,43.06465371828351,-27.06847290836577
131,10.0,0.1,10.0,80.0,0.8054896306016772,2.573425148535355,11.830387539251255,3.4394119042552234,28.24315095358761,-17.320444235088917
132,10.0,0.001,10.0,100.0,0.017353783214293105,5.945566658095281,59.76367763054115,7.7305767277931166,66.36666870832335,-41.84651473355771
133,10.0,0.01,10.0,100.0,0.1605394965225799,5.485787487855043,51.05516035210517,7.145180692580297,61.21840094161905,-38.61336101548905
134,10.0,0.05,10.0,100.0,0.5778749789905613,3.8532629666720055,25.673346797304838,5.066791526292965,42.85295362230879,-26.937467235358163
135,10.0,0.1,10.0,100.0,0.8106216080801302,2.542167895723799,11.518100536857641,3.393696918507615,27.91050132250954,-17.135667052579738
136,10.0,0.001,10.0,127.0,0.017495980804113874,5.9452353350784515,59.75502778486308,7.730017315472514,66.36258073991871,-41.843302613615734
137,10.0,0.01,10.0,127.0,0.16196632155857588,5.4821957250998405,50.968375520467944,7.139105494571649,61.17862955805949,-38.58473913082516
138,10.0,0.05,10.0,127.0,0.5820967133753185,3.838407762781266,25.416829751484407,5.04139985552321,42.686596958427984,-26.826619989167007
139,10.0,0.1,10.0,127.0,0.8158320390129077,2.5108196383873356,11.20128348965632,3.346694279893901,27.59727013840659,-16.968102610558113
140,10.0,0.001,20.0,31.0,0.01637053582138619,5.948009539609872,59.82350017475608,7.7344441373256405,66.38976752789692,-41.861092552660395
141,10.0,0.01,20.0,31.0,0.1515681134519254,5.510494629376803,51.60092870160761,7.183264510800842,61.462934601238885,-38.76705316064972
142,10.0,0.05,20.0,31.0,0.5477503597740435,3.973525073215673,27.506190571544742,5.2445023169161535,44.03950967746706,-27.61182029467105
143,10.0,0.1,20.0,31.0,0.7757823929805573,2.7446292048901535,13.637571535989148,3.692743250823775,29.928114743850916,-18.266267330622036
144,10.0,0.001,20.0,60.0,0.016974980427518972,5.946609535231235,59.78671937378,7.7320667303245845,66.37712203676617,-41.852825426304946
145,10.0,0.01,20.0,60.0,0.15712622456267372,5.495990137178912,51.26275465383206,7.159692240948085,61.323173929948915,-38.677652001765665
146,10.0,0.05,20.0,60.0,0.5664261303857643,3.9003716490849016,26.369987471973957,5.1350592322088096,43.335068017701055,-27.216250705931174
147,10.0,0.1,20.0,60.0,0.7980684177093789,2.617320263506138,12.281910697617516,3.5044190051277235,28.678457976688026,-17.569174116760678
148,10.0,0.001,20.0,80.0,0.017197517849103616,5.945956522809361,59.77318455903678,7.731191477925241,66.37127482251239,-41.849447668767056
149,10.0,0.01,20.0,80.0,0.1591329268523774,5.489759371574635,51.140673338222186,7.151163090174441,61.26452779309371,-38.64281466689634
150,10.0,0.05,20.0,80.0,0.5730780618786429,3.8716479795150804,25.965276952972783,5.095508198869061,43.06465371828351,-27.06847290836577
151,10.0,0.1,20.0,80.0,0.8054896306016772,2.573425148535355,11.830387539251255,3.4394119042552234,28.24315095358761,-17.320444235088917
